    3    4     0     0  con    0  1.0D+00  9.1D-01  5.105D-02  2.288D+00
    4    5     0     0  con    0  1.0D+00  1.1D+00  7.083D-02  2.047D+00
    5    6     0     0  con    0  1.0D+00  1.0D+00  7.205D-02  1.892D+00
    6    7     0     0  con    0  1.0D+00  3.2D-01  3.042D-02  1.829D+00
    7    8     0     0  con    0  1.0D+00  6.7D-01  2.847D-02  1.776D+00
    8    9     0     0  con    0  1.0D+00  5.0D-01  3.059D-02  1.728D+00
    9   10     0     0  con    0  1.0D+00  1.6D+00  2.502D-02  1.635D+00
   10   11     0     0  con    0  1.0D+00  9.9D-01  3.324D-02  1.579D+00
   11   12     0     0  con    0  1.0D+00  8.3D-01  2.550D-02  1.524D+00
   12   13     0     0  con    0  1.0D+00  2.0D+00  2.629D-02  1.436D+00
   13   14     0     0  con    0  1.0D+00  1.4D+00  6.758D-02  1.414D+00
   14   15     0     0  con    0  1.0D+00  2.9D-01  3.579D-02  1.364D+00
   15   16     0     0  con    0  1.0D+00  5.8D-01  1.898D-02  1.327D+00
   16   17     0     0  con    0  1.0D+00  4.0D-01  1.612D-02  1.314D+00
   17   18     0     0  con    0  1.0D+00  8.3D-01  9.213D-03  1.281D+00
   18   20     0     0  con    1  3.1D-01  4.9D-01  9.846D-03  1.271D+00
   19   21     0     0  con    0  1.0D+00  8.4D-01  9.380D-03  1.256D+00
   20   22     0     0  con    0  1.0D+00  3.5D-01  4.992D-03  1.243D+00
   21   23     0     0  con    0  1.0D+00  4.9D-01  6.548D-03  1.228D+00
   22   24     0     0  con    0  1.0D+00  4.2D-01  1.355D-02  1.220D+00
   23   25     0     0  con    0  1.0D+00  3.0D-01  8.798D-03  1.213D+00
   24   26     0     0  con    0  1.0D+00  4.0D-01  1.947D-02  1.209D+00
   25   27     0     0  con    0  1.0D+00  1.1D-01  3.602D-03  1.206D+00
   26   28     0     0  con    0  1.0D+00  9.0D-02  4.793D-03  1.204D+00
   27   29     0     0  con    0  1.0D+00  2.2D-01  8.188D-03  1.201D+00
   28   30     0     0  con    0  1.0D+00  3.0D-01  1.024D-02  1.199D+00
   29   31     0     0  con    0  1.0D+00  2.8D-01  3.463D-03  1.197D+00
   30   32     0     0  con    0  1.0D+00  5.8D-02  2.706D-03  1.195D+00
   31   33     0     0  con    0  1.0D+00  1.6D-01  3.720D-03  1.192D+00
   32   34     0     0  con    0  1.0D+00  2.1D-01  7.494D-03  1.190D+00
   33   35     0     0  con    0  1.0D+00  2.9D-01  1.908D-03  1.188D+00
   34   36     0     0  con    0  1.0D+00  9.2D-02  1.113D-03  1.187D+00
   35   37     0     0  con    0  1.0D+00  1.5D-01  3.219D-03  1.185D+00
   36   38     0     0  con    0  1.0D+00  2.1D-01  6.742D-03  1.184D+00
   37   39     0     0  con    0  1.0D+00  1.3D-01  5.584D-03  1.183D+00
   38   40     0     0  con    0  1.0D+00  7.3D-02  2.678D-03  1.182D+00
   39   41     0     0  con    0  1.0D+00  1.1D-01  1.142D-03  1.181D+00
   40   42     0     0  con    0  1.0D+00  1.2D-01  2.951D-03  1.181D+00
   41   43     0     0  con    0  1.0D+00  2.2D-01  3.630D-03  1.180D+00
   42   44     0     0  con    0  1.0D+00  1.6D-01  3.142D-03  1.179D+00
   43   45     0     0  con    0  1.0D+00  4.7D-02  1.605D-03  1.179D+00
   44   46     0     0  con    0  1.0D+00  9.4D-02  2.270D-03  1.178D+00
   45   47     0     0  con    0  1.0D+00  9.9D-02  1.135D-03  1.177D+00
   46   48     0     0  con    0  1.0D+00  2.1D-01  3.534D-03  1.176D+00
   47   49     0     0  con    0  1.0D+00  1.7D-01  2.094D-03  1.176D+00
   48   50     0     0  con    0  1.0D+00  9.2D-02  1.262D-03  1.175D+00
